Model,Val_MAE,Val_RMSE,Test_MAE,Test_RMSE
Linear Regression,23642.76171875,78145.01555441652,27381.49609375,109485.88979407346
Neural Network (MLP),17481.318359375,26618.397247016957,20452.41796875,55636.32539986802
