Model,Val_Accuracy,Val_ROC_AUC,Test_Accuracy,Test_ROC_AUC
Logistic Regression,0.9315068493150684,0.9703964344358433,0.9041095890410958,0.9694830174516795
Neural Network (MLP),0.928082191780822,0.9657049026507154,0.9006849315068494,0.9702570838806531
